Customer_ID,Age,Age_Group,Gender,Marital_Status,Education_Level,Employment_Status,Annual_Income,Credit_Score,Annual_Income_Group,Credit_Score_Group,Number_of_Credit_Lines,Credit_Utilization_Ratio,Debt_To_Income_Ratio,Number_of_Late_Payments,Tenure_in_Years,Total_Transactions,Total_Transactions_Group,Defaulted,CLV,CLV_Group,Total_Transactions2,Avg_Transaction_Amount
CUST_00001,59,50 - 59,Male,Married,PhD,Unemployed,41442,642,Middle Income,Fair,4,0.44,0.4,2,22,166,Very High Activity,0,57310,Moderate Value,22,454.337
CUST_00002,49,40 - 49,Male,Divorced,High School,Unemployed,85992,665,Upper Middle Income,Fair,7,0.52,0.29,0,25,10,Very Low Activity,0,124494,Very High Value,22,378.365
CUST_00003,35,30 - 39,Male,Married,Bachelor,Employed,58420,683,Middle Income,Good,8,0.88,0.2,2,9,177,Very High Activity,1,46180,Moderate Value,10,437.929
CUST_00004,63,60 -69,Male,Single,Bachelor,Employed,59733,674,Middle Income,Good,7,0.4,0.55,1,10,21,Very Low Activity,1,35120,Low Value,23,540.464
CUST_00005,28,20 - 29,Female,Married,Master,Employed,69487,733,Upper Middle Income,Good,5,0.88,0.77,1,4,80,Moderate Activity,1,24310,Low Value,16,520.644
CUST_00006,41,40 - 49,Male,Single,Master,Employed,76064,718,Upper Middle Income,Good,1,0.32,0.94,1,20,145,High Activity,0,65713,Moderate Value,20,494.495
CUST_00007,59,50 - 59,Male,Married,PhD,Employed,52142,611,Middle Income,Fair,6,0.94,0.3,3,27,16,Very Low Activity,1,46155,Moderate Value,22,421.25
CUST_00008,39,30 - 39,Female,Single,Bachelor,Employed,70381,759,Upper Middle Income,Very Good,8,0.04,0.7,1,21,94,Moderate Activity,0,135454,Very High Value,22,621.953
CUST_00009,43,40 - 49,Female,Married,Master,Self-employed,71275,659,Upper Middle Income,Fair,6,0.53,0.79,0,3,195,Very High Activity,0,33701,Low Value,11,460.491
CUST_00010,31,30 - 39,Female,Single,High School,Employed,82008,670,Upper Middle Income,Good,8,0.32,0.48,2,7,118,Moderate Activity,0,26452,Low Value,17,474.175
CUST_00011,31,30 - 39,Male,Single,Bachelor,Unemployed,52966,697,Middle Income,Good,6,0.29,0.92,1,7,100,Moderate Activity,0,36278,Low Value,22,365.712
CUST_00012,44,40 - 49,Female,Married,Master,Employed,71283,602,Upper Middle Income,Fair,2,0.08,0.02,1,19,178,Very High Activity,0,58687,Moderate Value,25,496.551
CUST_00013,56,50 - 59,Male,Single,Bachelor,Employed,68563,737,Upper Middle Income,Good,6,0.68,0.9,1,29,159,High Activity,0,96962,High Value,19,432.695
CUST_00014,60,60 -69,Female,Married,Master,Employed,66403,667,Upper Middle Income,Fair,9,0.39,0.89,0,0,94,Moderate Activity,0,20444,Low Value,24,460.506
CUST_00015,44,40 - 49,Male,Divorced,Bachelor,Unemployed,26827,721,Low Income,Good,2,0.95,0.14,0,12,131,High Activity,0,10162,Low Value,21,596.669
